Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude
1,2022 April 30,20:42:36,73,P,-1.1901,0.6396,62.1S,71.5W
2,2022 October 25,11:01:20,73,P,1.0701,0.8619,61.6N,77.4E
3,2023 April 20,04:17:56,73,H,-0.3952,1.0132,9.6S,125.8E
4,2023 October 14,18:00:41,74,A,0.3753,952,11.4N,83.1W
5,2024 April 8,18:18:29,74,T,0.3431,1.0566,25.3N,104.1W
6,2024 October 2,18:46:13,74,A,-0.3509,0.9326,22.0S,114.5W
7,2025 March 29,10:48:36,75,P,1.0405,0.9376,61.1N,77.1W
8,2025 September 21,19:43:04,75,P,-1.0651,855,60.9S,153.5E
9,2026 February 17,12:13:06,75,A,-0.9743,963,64.7S,86.8E
10,2026 August 12,17:47:06,75,T,0.8977,1.0386,65.2N,25.2W
11,2027 February 6,16:00:48,76,A,-0.2952,0.9281,31.3S,48.5W
12,2027 August 2,10:07:50,76,T,0.1421,1.079,25.5N,33.2E
13,2028 January 26,15:08:59,76,A,0.3901,0.9208,3.0N,51.5W
14,2028 July 22,02:56:40,77,T,-0.6056,1.056,15.6S,126.7E
15,2029 January 14,17:13:48,77,P,1.0553,0.8714,63.7N,114.2W
16,2029 June 12,04:06:13,77,P,1.2943,0.4576,66.8N,66.2W
17,2029 July 11,15:37:19,77,P,-1.4191,0.2303,64.3S,85.6W
18,2029 December 5,15:03:58,77,P,-1.0609,0.8911,67.5S,135.7E
19,2030 June 1,06:29:13,78,A,0.5626,0.9443,56.5N,80.1E
20,2030 November 25,06:51:37,78,T,-0.3867,1.0468,43.6S,71.2E
21,2031 May 21,07:16:04,78,A,-197,0.9589,8.9N,71.7E
22,2031 November 14,21:07:31,79,H,0.3078,1.0106,0.6S,137.6W
23,2032 May 9,13:26:42,79,A,-0.9375,0.9957,51.3S,7.1W
24,2032 November 3,05:34:13,79,P,1.0643,0.8554,70.4N,132.6E
25,2033 March 30,18:02:36,80,T,0.9778,1.0462,71.3N,155.8W
26,2033 September 23,13:54:31,80,P,-1.1583,689,72.2S,121.2W
27,2034 March 20,10:18:45,80,T,0.2894,1.0458,16.1N,22.2E
28,2034 September 12,16:19:28,81,A,-0.3936,0.9736,18.2S,72.6W
29,2035 March 9,23:05:54,81,A,-0.4368,0.9919,29.0S,154.9W
30,2035 September 2,01:56:46,81,T,0.3727,1.032,29.1N,158.0E
31,2036 February 27,04:46:49,82,P,-1.1942,0.6286,71.6S,131.4W
32,2036 July 23,10:32:06,82,P,-1.425,0.1991,68.9S,3.6E
33,2036 August 21,17:25:45,82,P,1.0825,0.8622,71.1N,47.0E
34,2037 January 16,09:48:55,82,P,1.1477,0.7049,68.5N,20.8E
35,2037 July 13,02:40:36,83,T,-0.7246,1.0413,24.8S,139.1E
36,2038 January 5,13:47:11,83,A,0.4169,0.9728,2.1N,25.4W
37,2038 July 2,13:32:55,84,A,0.0398,0.9911,25.4N,21.9W
38,2038 December 26,01:00:10,84,T,-0.2881,1.0268,40.3S,164.0E
39,2039 June 21,17:12:54,84,A,0.8312,0.9454,78.9N,102.1W
40,2039 December 15,16:23:46,85,T,-0.9458,1.0356,80.9S,172.8E
41,2040 May 11,03:43:02,85,P,-1.2529,0.5306,62.8S,174.4E
42,2040 November 4,19:09:02,85,P,1.0993,0.8074,62.2N,53.4W
43,2041 April 30,11:52:21,86,T,-0.4492,1.0189,9.6S,12.2E
44,2041 October 25,01:36:22,86,A,0.4133,0.9467,9.9N,162.9E
45,2042 April 20,02:17:30,86,T,0.2956,1.0614,27.0N,137.3E
46,2042 October 14,02:00:42,87,A,-303,0.93,23.7S,137.8E
47,2043 April 9,18:57:49,87,T+,1.0031,1.0095,61.3N,152.0E
48,2043 October 3,03:01:49,88,A-,-1.0102,0.9497,61.0S,35.3E
49,2044 February 28,20:24:40,88,As,-0.9954,0.96,62.2S,25.6W
50,2044 August 23,01:17:02,88,T,0.9613,1.0364,64.3N,120.4W
51,2045 February 16,23:56:07,89,A,-0.3125,0.9285,28.3S,166.2W
52,2045 August 12,17:42:39,89,T,0.2116,1.0774,25.9N,78.5W
53,2046 February 5,23:06:26,90,A,0.3765,0.9232,4.8N,171.4W
54,2046 August 2,10:21:13,90,T,-535,1.0531,12.7S,15.2E
55,2047 January 26,01:33:18,90,P,1.045,0.8907,62.9N,111.7E
56,2047 June 23,10:52:31,91,P,1.3766,0.3129,65.8N,178.0W
57,2047 July 22,22:36:17,91,P,-1.3477,0.3604,63.4S,160.2E
58,2047 December 16,23:50:12,91,P,-1.0661,0.8816,66.4S,6.6W
59,2048 June 11,12:58:53,92,A,0.6468,0.9441,63.7N,11.5W
60,2048 December 5,15:35:27,92,T,-0.3973,1.044,46.1S,56.4W
61,2049 May 31,13:59:59,92,A,-0.1187,0.9631,15.3N,29.9W
62,2049 November 25,05:33:48,93,H,0.2943,1.0057,3.8S,95.2E
63,2050 May 20,20:42:50,94,H,-0.8688,1.0038,40.1S,123.7W
64,2050 November 14,13:30:53,95,P,1.0447,0.8874,69.5N,1.0E